Tue Feb 13 16:01:20 2024    ./cprof/stencilNoTorc/output0.pstats

         56250945 function calls (56250897 primitive calls) in 99.615 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/_ufunc_config.py:33(seterr)
        1    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/arrayprint.py:64(_make_options_dict)
        1    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2692(max)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       16    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/__init__.py:144(_DType_reduce)
      356    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/numeric.py:1851(_frombuffer)
        1    0.000    0.000    0.000    0.000 {method 'Isend' of 'mpi4py.MPI.Comm' objects}
        1    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/arrayprint.py:1415(dtype_is_implied)
        1    0.000    0.000    0.000    0.000 /home/mmr.pinto/stencilNoTorc.py:66(<listcomp>)
       36    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        6    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/lib/index_tricks.py:764(__getitem__)
        2    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/_ufunc_config.py:132(geterr)
       37    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/arrayprint.py:993(<genexpr>)
        1    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/arrayprint.py:403(_get_formatdict)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2836(min)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.frombuffer}
       37    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/arrayprint.py:994(<genexpr>)
        1    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/_ufunc_config.py:435(__exit__)
       36    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 {built-in method time.time}
        2    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
        1    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/_ufunc_config.py:426(__init__)
        2    0.000    0.000    0.000    0.000 {method 'Get_size' of 'mpi4py.MPI.Comm' objects}
        3    0.000    0.000    0.000    0.000 {method 'Get_rank' of 'mpi4py.MPI.Comm' objects}
        4    0.000    0.000    0.000    0.000 {built-in method numpy.geterrobj}
        7    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/arrayprint.py:72(<dictcomp>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        1    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/multiarray.py:1080(copyto)
        1    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        3    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/multiarray.py:153(concatenate)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
        1    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2687(_max_dispatcher)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/arrayprint.py:898(_none_or_positive_arg)
        1    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2831(_min_dispatcher)


